month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-04-01,B DIVISION,D,1,4568,5826,78.4071404
2015-04-01,B DIVISION,E,1,6230,8696,71.6421343
2015-04-01,B DIVISION,F,1,5582,8962,62.2852042
2015-04-01,B DIVISION,G,1,3999,6164,64.8767034
2015-04-01,B DIVISION,JZ,1,4770,5998,79.5265088
2015-04-01,B DIVISION,L,1,9972,10792,92.4017791
2015-04-01,B DIVISION,M,1,4247,5852,72.5734792
2015-04-01,B DIVISION,N,1,4294,5882,73.0023801
2015-04-01,B DIVISION,Q,1,4613,5892,78.2926001
2015-04-01,B DIVISION,R,1,3759,6248,60.1632522
2015-04-01,B DIVISION,S Fkln,1,2584,2588,99.8454405
2015-04-01,B DIVISION,S Rock,1,3556,3700,96.1081081
2015-04-01,Systemwide,Systemwide,1,122093,171077,71.3672791
2015-05-01,A DIVISION,1,1,7104,9031,78.6623851
2015-05-01,A DIVISION,2,1,2740,6185,44.3007276
2015-05-01,A DIVISION,3,1,4087,6092,67.0879842
2015-05-01,A DIVISION,4,1,3058,7348,41.6167665
2015-05-01,A DIVISION,5,1,2663,6624,40.2022947
2015-05-01,A DIVISION,6,1,5603,11210,49.9821588
2015-05-01,A DIVISION,7,1,10280,12345,83.27258
2015-05-01,A DIVISION,S 42nd,1,11295,11640,97.0360825
2015-05-01,B DIVISION,A,1,4963,7369,67.3497082
2015-05-01,B DIVISION,B,1,3178,4120,77.1359223
2015-05-01,B DIVISION,C,1,3177,4000,79.425
2015-05-01,B DIVISION,D,1,3979,5297,75.1179913
2015-05-01,B DIVISION,E,1,5281,7908,66.7804755
2015-05-01,B DIVISION,F,1,4630,7789,59.442804
2015-05-01,B DIVISION,G,1,3741,5603,66.767803
2015-05-01,B DIVISION,JZ,1,3935,5454,72.1488816
2015-05-01,B DIVISION,L,1,9561,10036,95.2670387
2015-05-01,B DIVISION,M,1,3614,5320,67.9323308
2015-05-01,B DIVISION,N,1,3450,5320,64.8496241
2015-05-01,B DIVISION,Q,1,3922,5732,68.422889
2015-05-01,B DIVISION,R,1,3142,5680,55.3169014
2015-05-01,B DIVISION,S Fkln,1,2360,2360,100
2015-05-01,B DIVISION,S Rock,1,3150,3334,94.4811038
2015-05-01,Systemwide,Systemwide,1,108913,155797,69.9069944
2015-06-01,A DIVISION,1,1,8011,9929,80.6828482
2015-06-01,A DIVISION,2,1,2916,6834,42.6690079
2015-06-01,A DIVISION,3,1,4469,6508,68.6693301
2015-06-01,A DIVISION,4,1,3566,8271,43.1144964
2015-06-01,A DIVISION,5,1,2884,7145,40.3638908
2015-06-01,A DIVISION,6,1,5923,12491,47.4181411
2015-06-01,A DIVISION,7,1,11459,13571,84.4374033
2015-06-01,A DIVISION,S 42nd,1,12594,12870,97.8554779
2015-06-01,B DIVISION,A,1,5429,8069,67.2821911
2015-06-01,B DIVISION,B,1,3486,4532,76.9196823
2015-06-01,B DIVISION,C,1,3502,4400,79.5909091
2015-06-01,B DIVISION,D,1,4276,5825,73.4077253
2015-06-01,B DIVISION,E,1,6265,8692,72.0777727
2015-06-01,B DIVISION,F,1,5033,8374,60.1026988
2015-06-01,B DIVISION,G,1,3888,6165,63.0656934
2015-06-01,B DIVISION,JZ,1,4071,6005,67.7935054
2015-06-01,B DIVISION,L,1,9816,10843,90.5284515
2015-06-01,B DIVISION,M,1,4096,5852,69.9931647
2015-06-01,B DIVISION,N,1,3769,5852,64.4053315
2015-06-01,B DIVISION,Q,1,4162,5891,70.6501443
2015-06-01,B DIVISION,R,1,3475,6248,55.6177977
2015-06-01,B DIVISION,S Fkln,1,2593,2596,99.8844376
2015-06-01,B DIVISION,S Rock,1,3553,3701,96.0010808
2015-06-01,Systemwide,Systemwide,1,119236,170664,69.8659354
2015-07-01,A DIVISION,1,1,7293,9932,73.4293194
2015-07-01,A DIVISION,2,1,2868,6929,41.3912541
2015-07-01,A DIVISION,3,1,4310,6564,65.6611822
2015-07-01,A DIVISION,4,1,3456,8084,42.7511133
2015-07-01,A DIVISION,5,1,2739,7078,38.6973721
2015-07-01,A DIVISION,6,1,6118,12248,49.9510124
2015-07-01,A DIVISION,7,1,11379,13576,83.8170301
2015-07-01,A DIVISION,S 42nd,1,12801,12872,99.4484152
2015-07-01,B DIVISION,A,1,5336,8228,64.8517258
2015-07-01,B DIVISION,B,1,3435,4532,75.7943513
2015-07-01,B DIVISION,C,1,3407,4400,77.4318182
2015-07-01,B DIVISION,D,1,4242,5826,72.8115345
2015-07-01,B DIVISION,E,1,5962,8696,68.5602576
2015-07-01,B DIVISION,F,1,4783,8380,57.0763723
2015-07-01,B DIVISION,G,1,3973,6164,64.4548994
2015-07-01,B DIVISION,JZ,1,4460,6010,74.2096506
2015-07-01,B DIVISION,L,1,9774,10802,90.4832438
2015-07-01,B DIVISION,M,1,4090,5852,69.8906357
2015-07-01,B DIVISION,N,1,4230,6221,67.9954991
2015-07-01,B DIVISION,Q,1,4108,5892,69.7216565
2015-07-01,B DIVISION,R,1,3740,6248,59.8591549
2015-07-01,B DIVISION,S Fkln,1,2587,2596,99.6533128
2015-07-01,B DIVISION,S Rock,1,3523,3700,95.2162162
2015-07-01,Systemwide,Systemwide,1,118614,170830,69.4339402
2015-08-01,A DIVISION,1,1,7575,9477,79.9303577
2015-08-01,A DIVISION,2,1,2648,6533,40.5326802
2015-08-01,A DIVISION,3,1,3880,6046,64.1746609
2015-08-01,A DIVISION,4,1,3430,7713,44.4703747
2015-08-01,A DIVISION,5,1,2361,6789,34.7768449
2015-08-01,A DIVISION,6,1,6547,11683,56.0386887
2015-08-01,A DIVISION,7,1,11418,12953,88.1494634
2015-08-01,A DIVISION,S 42nd,1,12764,12843,99.3848789
2015-08-01,B DIVISION,A,1,5204,7702,67.5668657
2015-08-01,B DIVISION,B,1,3386,4326,78.27092
2015-08-01,B DIVISION,C,1,3549,4200,84.5
2015-08-01,B DIVISION,D,1,4083,5470,74.6435101
2015-08-01,B DIVISION,E,1,5943,8296,71.6369335
2015-08-01,B DIVISION,F,1,4607,7992,57.6451451
2015-08-01,B DIVISION,G,1,3940,5885,66.9498726
2015-08-01,B DIVISION,JZ,1,4421,5738,77.0477518
2015-08-01,B DIVISION,L,1,9867,10603,93.0585683
2015-08-01,B DIVISION,M,1,3855,5586,69.0118153
2015-08-01,B DIVISION,N,1,3733,5586,66.8277837
2015-08-01,B DIVISION,Q,1,4245,5623,75.4935088
2015-08-01,B DIVISION,R,1,3798,5964,63.6820926
2015-08-01,B DIVISION,S Fkln,1,2469,2478,99.6368039
2015-08-01,B DIVISION,S Rock,1,3380,3533,95.6694028
2015-08-01,Systemwide,Systemwide,1,117103,163019,71.833958
2015-09-01,A DIVISION,1,1,7435,9451,78.6689239
2015-09-01,A DIVISION,2,1,2957,6517,45.3736382
2015-09-01,A DIVISION,3,1,4255,6398,66.5051579
2015-09-01,A DIVISION,4,1,3453,7875,43.847619
2015-09-01,A DIVISION,5,1,2602,6822,38.1413075
2015-09-01,A DIVISION,6,1,5278,11725,45.0149254
2015-09-01,A DIVISION,7,1,10554,12963,81.4163388
2015-09-01,A DIVISION,S 42nd,1,12197,12291,99.2352128
2015-09-01,B DIVISION,A,1,4993,8030,62.1793275
2015-09-01,B DIVISION,B,1,3514,4326,81.2297735
2015-09-01,B DIVISION,C,1,3062,4200,72.9047619
2015-09-01,B DIVISION,D,1,4124,5562,74.1459907
2015-09-01,B DIVISION,E,1,5397,8304,64.9927746
2015-09-01,B DIVISION,F,1,4541,8004,56.7341329
2015-09-01,B DIVISION,G,1,4066,6018,67.5639747
2015-09-01,B DIVISION,JZ,1,4026,5736,70.1882845
2015-09-01,B DIVISION,L,1,10082,10644,94.7200301
2015-09-01,B DIVISION,M,1,4138,5586,74.0780523
2015-09-01,B DIVISION,N,1,3719,5586,66.5771572
2015-09-01,B DIVISION,Q,1,4395,5625,78.1333333
2015-09-01,B DIVISION,R,1,3755,5964,62.9610999
2015-09-01,B DIVISION,S Fkln,1,2475,2478,99.8789346
2015-09-01,B DIVISION,S Rock,1,3385,3514,96.3289698
2015-09-01,Systemwide,Systemwide,1,114403,163619,69.9203638
2015-10-01,A DIVISION,1,1,7194,9932,72.4325413
2015-10-01,A DIVISION,2,1,2794,6804,41.06408
2015-10-01,A DIVISION,3,1,4131,6704,61.6199284
2015-10-01,A DIVISION,4,1,3411,8264,41.2754114
2015-10-01,A DIVISION,5,1,2561,7106,36.0399662
2015-10-01,A DIVISION,6,1,4617,12248,37.6959504
2015-10-01,A DIVISION,7,1,11688,13576,86.0931055
2015-10-01,A DIVISION,S 42nd,1,12635,12873,98.1511691
2015-10-01,B DIVISION,A,1,5203,8323,62.5135168
2015-10-01,B DIVISION,B,1,3648,4532,80.494263
2015-10-01,B DIVISION,C,1,3219,4362,73.7964237
2015-10-01,B DIVISION,D,1,4274,5826,73.3607964
2015-10-01,B DIVISION,E,1,5555,8696,63.8799448
2015-10-01,B DIVISION,F,1,4493,8380,53.6157518
2015-10-01,B DIVISION,G,1,4029,6164,65.3634004
2015-10-01,B DIVISION,JZ,1,3972,6010,66.0898502
2015-10-01,B DIVISION,L,1,9713,10802,89.9185336
2015-10-01,B DIVISION,M,1,4038,5852,69.0020506
2015-10-01,B DIVISION,N,1,3925,5852,67.0710868
2015-10-01,B DIVISION,Q,1,4357,5892,73.9477257
2015-10-01,B DIVISION,R,1,3670,6248,58.7387964
2015-10-01,B DIVISION,S Fkln,1,2566,2596,98.844376
2015-10-01,B DIVISION,S Rock,1,3533,3668,96.3195202
2015-10-01,Systemwide,Systemwide,1,115226,170710,67.4980962
2015-11-01,A DIVISION,1,1,6798,9025,75.3240997
2015-11-01,A DIVISION,2,1,2576,6180,41.6828479
2015-11-01,A DIVISION,3,1,3878,5896,65.7734057
2015-11-01,A DIVISION,4,1,3205,7504,42.7105544
2015-11-01,A DIVISION,5,1,2524,6495,38.860662
2015-11-01,A DIVISION,6,1,5032,11316,44.4680099
2015-11-01,A DIVISION,7,1,10250,12396,82.6879639
2015-11-01,A DIVISION,S 42nd,1,11794,11851,99.5190279
2015-11-01,B DIVISION,A,1,4938,7365,67.0468432
2015-11-01,B DIVISION,B,1,2649,4120,64.2961165
2015-11-01,B DIVISION,C,1,2961,3936,75.2286585
2015-11-01,B DIVISION,D,1,3761,5295,71.0292729
2015-11-01,B DIVISION,E,1,5607,7900,70.9746835
2015-11-01,B DIVISION,F,1,4199,7610,55.1773982
2015-11-01,B DIVISION,G,1,4005,5652,70.8598726
2015-11-01,B DIVISION,JZ,1,3626,5465,66.3494968
2015-11-01,B DIVISION,L,1,9242,10003,92.3922823
2015-11-01,B DIVISION,M,1,3611,5320,67.8759398
2015-11-01,B DIVISION,N,1,2898,5320,54.4736842
2015-11-01,B DIVISION,Q,1,2644,5355,49.3744164
2015-11-01,B DIVISION,R,1,3150,5680,55.4577465
2015-11-01,B DIVISION,S Fkln,1,2351,2360,99.6186441
2015-11-01,B DIVISION,S Rock,1,3223,3317,97.166114
2015-11-01,Systemwide,Systemwide,1,104922,155361,67.5343233
2015-12-01,A DIVISION,1,1,7587,9932,76.3894482
2015-12-01,A DIVISION,2,1,2930,6900,42.4637681
2015-12-01,A DIVISION,3,1,4261,6620,64.3655589
2015-12-01,A DIVISION,4,1,3603,8107,44.4430739
2015-12-01,A DIVISION,5,1,2729,7146,38.1891968
2015-12-01,A DIVISION,6,1,6053,12470,48.5404972
2015-12-01,A DIVISION,7,1,11066,13648,81.0814771
2015-12-01,A DIVISION,S 42nd,1,12708,12883,98.6416207
2015-12-01,B DIVISION,A,1,5659,8070,70.1239157
2015-12-01,B DIVISION,B,1,3413,4532,75.3089144
2015-12-01,B DIVISION,C,1,3290,4400,74.7727273
2015-12-01,B DIVISION,D,1,4305,5922,72.6950355
2015-12-01,B DIVISION,E,1,5950,8692,68.4537506
2015-12-01,B DIVISION,F,1,4766,8376,56.9006686
2015-12-01,B DIVISION,G,1,4800,6102,78.6627335
2015-12-01,B DIVISION,JZ,1,3953,6010,65.7737105
2015-12-01,B DIVISION,L,1,10220,11177,91.437774
2015-12-01,B DIVISION,M,1,4065,5888,69.0387228
2015-12-01,B DIVISION,N,1,3788,5848,64.7742818
2015-12-01,B DIVISION,Q,1,3997,5892,67.8377461
2015-12-01,B DIVISION,R,1,3723,6248,59.5870679
2015-12-01,B DIVISION,S Fkln,1,2577,2596,99.2681048
2015-12-01,B DIVISION,S Rock,1,3552,3700,96
2015-12-01,Systemwide,Systemwide,1,118995,171159,69.523075
2016-01-01,A DIVISION,1,1,6964,9028,77.1377935
2016-01-01,A DIVISION,2,1,2592,6264,41.3793103
2016-01-01,A DIVISION,3,1,3884,6092,63.7557452
2016-01-01,A DIVISION,4,1,2952,7348,40.1741971
2016-01-01,A DIVISION,5,1,2457,6496,37.8232759
2016-01-01,A DIVISION,6,1,5061,11132,45.4635286
2016-01-01,A DIVISION,7,1,9692,12420,78.0354267
2016-01-01,A DIVISION,S 42nd,1,11593,11709,99.0093091
2016-01-01,B DIVISION,A,1,4904,7435,65.9583053
2016-01-01,B DIVISION,B,1,2855,4120,69.2961165
2016-01-01,B DIVISION,C,1,3133,4000,78.325
2016-01-01,B DIVISION,D,1,3665,5252,69.7829398
2016-01-01,B DIVISION,E,1,5445,7900,68.9240506
2016-01-01,B DIVISION,F,1,4288,7612,56.3321072
2016-01-01,B DIVISION,G,1,4429,5600,79.0892857
2016-01-01,B DIVISION,JZ,1,3452,5661,60.9786257
2016-01-01,B DIVISION,L,1,8908,10100,88.1980198
2016-01-01,B DIVISION,M,1,3520,5360,65.6716418
2016-01-01,B DIVISION,N,1,3429,5557,61.7059565
2016-01-01,B DIVISION,Q,1,3506,5356,65.459298
2016-01-01,B DIVISION,R,1,3475,5680,61.1795775
2016-01-01,B DIVISION,S Fkln,1,2359,2360,99.9576271
2016-01-01,B DIVISION,S Rock,1,3232,3364,96.0760999
2016-01-01,Systemwide,Systemwide,1,105795,155846,67.8843217
2016-02-01,A DIVISION,1,1,6774,8974,75.4847337
2016-02-01,A DIVISION,2,1,2503,6264,39.958493
2016-02-01,A DIVISION,3,1,3779,6064,62.3186016
2016-02-01,A DIVISION,4,1,2677,7348,36.4316821
2016-02-01,A DIVISION,5,1,2462,6496,37.9002463
2016-02-01,A DIVISION,6,1,4729,11255,42.0168814
2016-02-01,A DIVISION,7,1,9143,12420,73.6151369
2016-02-01,A DIVISION,S 42nd,1,12118,12154,99.7038012
2016-02-01,B DIVISION,A,1,4858,7426,65.4187988
2016-02-01,B DIVISION,B,1,2917,4120,70.8009709
2016-02-01,B DIVISION,C,1,3078,4000,76.95
2016-02-01,B DIVISION,D,1,3443,5252,65.5559787
2016-02-01,B DIVISION,E,1,5379,7900,68.0886076
2016-02-01,B DIVISION,F,1,4527,7612,59.4718865
2016-02-01,B DIVISION,G,1,4550,5600,81.25
2016-02-01,B DIVISION,JZ,1,4084,5799,70.4259355
2016-02-01,B DIVISION,L,1,9106,10100,90.1584158
2016-02-01,B DIVISION,M,1,3705,5360,69.1231343
2016-02-01,B DIVISION,N,1,3251,5316,61.1550038
2016-02-01,B DIVISION,Q,1,3839,5356,71.6766243
2016-02-01,B DIVISION,R,1,3394,5680,59.7535211
2016-02-01,B DIVISION,S Fkln,1,2356,2360,99.8305085
2016-02-01,B DIVISION,S Rock,1,3271,3364,97.235434
2016-02-01,Systemwide,Systemwide,1,105943,156220,67.8165408
2016-03-01,A DIVISION,1,1,7160,10566,67.7645277
2016-03-01,A DIVISION,2,1,2998,7330,40.9004093
2016-03-01,A DIVISION,3,1,4408,6982,63.1337726
2016-03-01,A DIVISION,4,1,3472,8452,41.0790345
2016-03-01,A DIVISION,5,1,2746,7471,36.7554544
2016-03-01,A DIVISION,6,1,6605,12934,51.0669553
2016-03-01,A DIVISION,7,1,10826,14316,75.621682
2016-03-01,A DIVISION,S 42nd,1,13482,13523,99.6968128
2016-03-01,B DIVISION,A,1,5493,8437,65.1060804
2016-03-01,B DIVISION,B,1,3538,4706,75.1806205
2016-03-01,B DIVISION,C,1,3254,4600,70.7391304
2016-03-01,B DIVISION,D,1,4412,6409,68.8406928
2016-03-01,B DIVISION,E,1,6353,9088,69.9053697
2016-03-01,B DIVISION,F,1,5485,8758,62.628454
2016-03-01,B DIVISION,G,1,4962,6440,77.0496894
2016-03-01,B DIVISION,JZ,1,4173,6377,65.4382939
2016-03-01,B DIVISION,L,1,10398,11615,89.5221696
2016-03-01,B DIVISION,M,1,4169,6164,67.6346528
2016-03-01,B DIVISION,N,1,4140,6257,66.1658942
2016-03-01,B DIVISION,Q,1,4444,6160,72.1428571
2016-03-01,B DIVISION,R,1,4038,6532,61.8187385
2016-03-01,B DIVISION,S Fkln,1,2699,2714,99.4473102
2016-03-01,B DIVISION,S Rock,1,1822,1932,94.3064182
2016-03-01,Systemwide,Systemwide,1,121077,177763,68.1114743
2016-04-01,A DIVISION,1,1,6994,9676,72.2819347
2016-04-01,A DIVISION,2,1,2707,6981,38.7766796
2016-04-01,A DIVISION,3,1,3952,6426,61.5001556
2016-04-01,A DIVISION,4,1,3081,7716,39.9300156
2016-04-01,A DIVISION,5,1,2612,6787,38.4853396
2016-04-01,A DIVISION,6,1,6171,11690,52.7887083
2016-04-01,A DIVISION,7,1,9874,13103,75.3567885
2016-04-01,A DIVISION,S 42nd,1,12321,12495,98.607443
2016-04-01,B DIVISION,A,1,4900,7703,63.6115799
2016-04-01,B DIVISION,B,1,3102,4326,71.7059639
2016-04-01,B DIVISION,C,1,2961,4200,70.5
2016-04-01,B DIVISION,D,1,4060,5762,70.4616453
2016-04-01,B DIVISION,E,1,5805,8296,69.9734812
2016-04-01,B DIVISION,F,1,5102,8117,62.8557349
2016-04-01,B DIVISION,G,1,4977,6056,82.182959
2016-04-01,B DIVISION,JZ,1,3809,5737,66.3935855
2016-04-01,B DIVISION,L,1,9828,10605,92.6732673
2016-04-01,B DIVISION,M,1,4096,5628,72.7789623
2016-04-01,B DIVISION,N,1,3837,5582,68.7388033
2016-04-01,B DIVISION,Q,1,4447,5624,79.071835
2016-04-01,B DIVISION,R,1,3747,5964,62.8269618
2016-04-01,B DIVISION,S Fkln,1,2476,2478,99.9192897
2016-04-01,B DIVISION,S Rock,1,1622,1764,91.9501134
2016-04-01,Systemwide,Systemwide,1,112481,162716,69.1271909
2016-05-01,A DIVISION,1,1,7303,9480,77.035865
2016-05-01,A DIVISION,2,1,2220,6578,33.7488598
2016-05-01,A DIVISION,3,1,3696,6398,57.7680525
2016-05-01,A DIVISION,4,1,2940,7716,38.1026439
2016-05-01,A DIVISION,5,1,2341,6701,34.9350843
2016-05-01,A DIVISION,6,1,6266,11690,53.6013687
2016-05-01,A DIVISION,7,1,9779,13042,74.9808312
2016-05-01,A DIVISION,S 42nd,1,12194,12222,99.7709049
2016-05-01,B DIVISION,A,1,4945,7703,64.1957679
2016-05-01,B DIVISION,B,1,3297,4326,76.2135922
2016-05-01,B DIVISION,C,1,3095,4200,73.6904762
2016-05-01,B DIVISION,D,1,3883,5515,70.4079782
2016-05-01,B DIVISION,E,1,5856,8296,70.5882353
2016-05-01,B DIVISION,F,1,5382,7994,67.3254941
2016-05-01,B DIVISION,G,1,5434,6383,85.1323829
2016-05-01,B DIVISION,JZ,1,3562,5737,62.0881994
2016-05-01,B DIVISION,L,1,9841,10605,92.795851
2016-05-01,B DIVISION,M,1,4102,5628,72.8855721
2016-05-01,B DIVISION,N,1,3464,5582,62.0566105
2016-05-01,B DIVISION,Q,1,3868,5624,68.7766714
2016-05-01,B DIVISION,R,1,3565,5951,59.9058982
2016-05-01,B DIVISION,S Fkln,1,2474,2478,99.8385795
2016-05-01,B DIVISION,S Rock,1,1670,1764,94.6712018
2016-05-01,Systemwide,Systemwide,1,111177,161613,68.7921145
2016-06-01,A DIVISION,1,1,7276,10016,72.64377
2016-06-01,A DIVISION,2,1,2613,7074,36.9380831
2016-06-01,A DIVISION,3,1,4022,6732,59.7445039
2016-06-01,A DIVISION,4,1,3276,8140,40.2457002
2016-06-01,A DIVISION,5,1,2841,7202,39.4473757
2016-06-01,A DIVISION,6,1,6097,12464,48.9168806
2016-06-01,A DIVISION,7,1,10646,13664,77.9127635
2016-06-01,A DIVISION,S 42nd,1,13119,13268,98.8769973
2016-06-01,B DIVISION,A,1,4953,8143,60.8252487
2016-06-01,B DIVISION,B,1,3119,4532,68.8217123
2016-06-01,B DIVISION,C,1,3114,4400,70.7727273
2016-06-01,B DIVISION,D,1,3799,5778,65.7493943
2016-06-01,B DIVISION,E,1,5777,8748,66.0379515
2016-06-01,B DIVISION,F,1,4868,8376,58.1184336
2016-06-01,B DIVISION,G,1,5341,6527,81.8293243
2016-06-01,B DIVISION,JZ,1,4257,6091,69.8900016
2016-06-01,B DIVISION,L,1,10126,11110,91.1431143
2016-06-01,B DIVISION,M,1,4165,5924,70.3072248
2016-06-01,B DIVISION,N,1,3670,5876,62.4574541
2016-06-01,B DIVISION,Q,1,4125,5892,70.0101833
2016-06-01,B DIVISION,R,1,3755,6248,60.0992318
2016-06-01,B DIVISION,S Fkln,1,2595,2596,99.9614792
2016-06-01,B DIVISION,S Rock,1,1701,1845,92.195122
2016-06-01,Systemwide,Systemwide,1,115255,170646,67.5404053
2016-07-01,A DIVISION,1,1,6823,8965,76.1070831
2016-07-01,A DIVISION,2,1,1808,6248,28.9372599
2016-07-01,A DIVISION,3,1,3340,5999,55.675946
2016-07-01,A DIVISION,4,1,2575,7311,35.2209
2016-07-01,A DIVISION,5,1,2496,6459,38.6437529
2016-07-01,A DIVISION,6,1,5203,10913,47.6770824
2016-07-01,A DIVISION,7,1,9730,12369,78.6644029
2016-07-01,A DIVISION,S 42nd,1,11729,11953,98.1259935
2016-07-01,B DIVISION,A,1,4529,7241,62.5466096
2016-07-01,B DIVISION,B,1,2846,4073,69.8747852
2016-07-01,B DIVISION,C,1,2680,3943,67.9685519
2016-07-01,B DIVISION,D,1,3477,5217,66.6474986
2016-07-01,B DIVISION,E,1,5147,7765,66.2846104
2016-07-01,B DIVISION,F,1,4274,7478,57.1543193
2016-07-01,B DIVISION,G,1,5340,6282,85.0047755
2016-07-01,B DIVISION,JZ,1,3548,5483,64.7091009
2016-07-01,B DIVISION,L,1,8664,9913,87.4003833
2016-07-01,B DIVISION,M,1,3690,5342,69.0752527
2016-07-01,B DIVISION,N,1,3393,5464,62.0973646
2016-07-01,B DIVISION,Q,1,3602,5260,68.4790875
2016-07-01,B DIVISION,R,1,3243,5658,57.3170732
2016-07-01,B DIVISION,S Fkln,1,2295,2318,99.0077653
2016-07-01,B DIVISION,S Rock,1,1584,1671,94.7935368
