month,division,line,day_type,category,count
3/1/2015,B DIVISION,C,1,Track,1
3/1/2015,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
3/1/2015,B DIVISION,D,1,Track,2
3/1/2015,B DIVISION,D,2,Signals,1
3/1/2015,B DIVISION,E,1,Signals,2
3/1/2015,B DIVISION,E,1,Subway Car,1
3/1/2015,B DIVISION,E,1,Track,2
3/1/2015,B DIVISION,F,1,Signals,3
3/1/2015,B DIVISION,F,1,Subway Car,1
3/1/2015,B DIVISION,F,1,Track,1
3/1/2015,B DIVISION,G,1,Track,1
3/1/2015,B DIVISION,L,1,Track,2
3/1/2015,B DIVISION,L,2,Signals,1
3/1/2015,B DIVISION,L,2,Track,1
3/1/2015,B DIVISION,M,1,Track,1
3/1/2015,B DIVISION,N,1,Other,1
3/1/2015,B DIVISION,N,1,Track,2
3/1/2015,B DIVISION,Q,1,Track,1
3/1/2015,B DIVISION,R,1,Other,1
3/1/2015,B DIVISION,R,1,Persons on Trackbed/Police/Medical,2
3/1/2015,B DIVISION,R,1,Subway Car,1
3/1/2015,B DIVISION,R,1,Track,3
3/1/2015,Systemwide,Systemwide,1,Other,6
3/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,18
3/1/2015,Systemwide,Systemwide,1,Signals,16
3/1/2015,Systemwide,Systemwide,1,Subway Car,3
3/1/2015,Systemwide,Systemwide,1,Track,31
3/1/2015,Systemwide,Systemwide,2,Signals,2
3/1/2015,Systemwide,Systemwide,2,Track,2
4/1/2015,A DIVISION,1,1,Other,1
4/1/2015,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
4/1/2015,A DIVISION,1,1,Signals,1
4/1/2015,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
4/1/2015,A DIVISION,2,1,Signals,1
4/1/2015,A DIVISION,2,1,Track,2
4/1/2015,A DIVISION,2,2,Track,1
4/1/2015,A DIVISION,3,1,Other,1
4/1/2015,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
4/1/2015,A DIVISION,3,1,Track,1
4/1/2015,A DIVISION,4,1,Signals,1
4/1/2015,A DIVISION,4,1,Track,2
4/1/2015,A DIVISION,5,1,Other,1
4/1/2015,A DIVISION,5,1,Signals,2
4/1/2015,A DIVISION,5,1,Track,1
4/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
4/1/2015,A DIVISION,6,1,Signals,1
4/1/2015,A DIVISION,6,1,Subway Car,1
4/1/2015,A DIVISION,6,1,Track,3
4/1/2015,A DIVISION,6,2,Subway Car,1
4/1/2015,A DIVISION,6,2,Track,1
4/1/2015,A DIVISION,7,1,Signals,1
4/1/2015,A DIVISION,7,1,Stations and Structure,1
4/1/2015,A DIVISION,7,1,Subway Car,1
4/1/2015,A DIVISION,7,1,Track,1
4/1/2015,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
4/1/2015,B DIVISION,B,1,Signals,1
4/1/2015,B DIVISION,C,1,Other,1
4/1/2015,B DIVISION,D,1,Track,1
4/1/2015,B DIVISION,E,1,Signals,2
4/1/2015,B DIVISION,E,1,Track,1
4/1/2015,B DIVISION,E,2,Persons on Trackbed/Police/Medical,1
4/1/2015,B DIVISION,F,1,Signals,2
4/1/2015,B DIVISION,F,1,Subway Car,1
4/1/2015,B DIVISION,G,1,Track,1
4/1/2015,B DIVISION,JZ,1,Track,1
4/1/2015,B DIVISION,L,1,Track,1
4/1/2015,B DIVISION,L,2,Persons on Trackbed/Police/Medical,1
4/1/2015,B DIVISION,M,1,Signals,1
4/1/2015,B DIVISION,M,1,Track,4
4/1/2015,B DIVISION,N,1,Other,1
4/1/2015,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
4/1/2015,B DIVISION,N,1,Track,2
4/1/2015,B DIVISION,Q,1,Signals,1
4/1/2015,B DIVISION,Q,1,Track,1
4/1/2015,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
4/1/2015,B DIVISION,R,1,Track,1
4/1/2015,Systemwide,Systemwide,1,Other,5
4/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,8
4/1/2015,Systemwide,Systemwide,1,Signals,14
4/1/2015,Systemwide,Systemwide,1,Stations and Structure,1
4/1/2015,Systemwide,Systemwide,1,Subway Car,3
4/1/2015,Systemwide,Systemwide,1,Track,23
4/1/2015,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
4/1/2015,Systemwide,Systemwide,2,Subway Car,1
4/1/2015,Systemwide,Systemwide,2,Track,2
5/1/2015,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
5/1/2015,A DIVISION,1,1,Signals,1
5/1/2015,A DIVISION,1,1,Track,1
5/1/2015,A DIVISION,1,2,Signals,1
5/1/2015,A DIVISION,1,2,Track,1
5/1/2015,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
5/1/2015,A DIVISION,2,1,Track,4
5/1/2015,A DIVISION,2,2,Track,1
5/1/2015,A DIVISION,3,1,Other,2
5/1/2015,A DIVISION,4,1,Other,2
5/1/2015,A DIVISION,4,1,Signals,1
5/1/2015,A DIVISION,4,1,Stations and Structure,1
5/1/2015,A DIVISION,4,2,Stations and Structure,1
5/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
5/1/2015,A DIVISION,5,1,Signals,3
5/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
5/1/2015,A DIVISION,6,1,Subway Car,2
5/1/2015,A DIVISION,6,1,Track,3
5/1/2015,A DIVISION,7,1,Other,1
5/1/2015,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
5/1/2015,A DIVISION,S 42nd,1,Track,1
5/1/2015,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
5/1/2015,B DIVISION,C,1,Track,1
5/1/2015,B DIVISION,D,1,Signals,2
5/1/2015,B DIVISION,E,1,Signals,2
5/1/2015,B DIVISION,E,1,Track,1
5/1/2015,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
5/1/2015,B DIVISION,F,1,Signals,1
5/1/2015,B DIVISION,F,1,Stations and Structure,1
5/1/2015,B DIVISION,F,1,Track,3
5/1/2015,B DIVISION,F,2,Signals,1
5/1/2015,B DIVISION,L,1,Track,1
5/1/2015,B DIVISION,L,2,Persons on Trackbed/Police/Medical,1
5/1/2015,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
5/1/2015,B DIVISION,M,1,Signals,1
5/1/2015,B DIVISION,M,1,Stations and Structure,1
5/1/2015,B DIVISION,N,1,Other,1
5/1/2015,B DIVISION,N,1,Signals,2
5/1/2015,B DIVISION,N,1,Track,2
5/1/2015,B DIVISION,Q,1,Other,2
5/1/2015,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
5/1/2015,B DIVISION,Q,1,Signals,1
5/1/2015,B DIVISION,Q,1,Track,2
5/1/2015,B DIVISION,R,1,Signals,6
5/1/2015,B DIVISION,R,1,Track,2
5/1/2015,B DIVISION,R,2,Persons on Trackbed/Police/Medical,1
5/1/2015,Systemwide,Systemwide,1,Other,8
5/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,9
5/1/2015,Systemwide,Systemwide,1,Signals,20
5/1/2015,Systemwide,Systemwide,1,Stations and Structure,3
5/1/2015,Systemwide,Systemwide,1,Subway Car,2
5/1/2015,Systemwide,Systemwide,1,Track,21
5/1/2015,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
5/1/2015,Systemwide,Systemwide,2,Signals,2
5/1/2015,Systemwide,Systemwide,2,Stations and Structure,1
5/1/2015,Systemwide,Systemwide,2,Track,2
6/1/2015,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
6/1/2015,A DIVISION,1,1,Signals,1
6/1/2015,A DIVISION,1,1,Track,1
6/1/2015,A DIVISION,2,1,Persons on Trackbed/Police/Medical,3
6/1/2015,A DIVISION,2,1,Signals,1
6/1/2015,A DIVISION,2,1,Subway Car,1
6/1/2015,A DIVISION,2,1,Track,4
6/1/2015,A DIVISION,3,1,Persons on Trackbed/Police/Medical,2
6/1/2015,A DIVISION,4,1,Persons on Trackbed/Police/Medical,4
6/1/2015,A DIVISION,4,1,Signals,3
6/1/2015,A DIVISION,5,1,Other,1
6/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
6/1/2015,A DIVISION,5,1,Signals,1
6/1/2015,A DIVISION,5,1,Track,1
6/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,3
6/1/2015,A DIVISION,6,1,Signals,1
6/1/2015,A DIVISION,6,1,Track,2
6/1/2015,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
6/1/2015,A DIVISION,7,1,Stations and Structure,1
6/1/2015,B DIVISION,A,1,Persons on Trackbed/Police/Medical,2
6/1/2015,B DIVISION,A,1,Track,1
6/1/2015,B DIVISION,C,1,Signals,1
6/1/2015,B DIVISION,C,1,Track,2
6/1/2015,B DIVISION,D,2,Persons on Trackbed/Police/Medical,1
6/1/2015,B DIVISION,E,1,Persons on Trackbed/Police/Medical,2
6/1/2015,B DIVISION,E,1,Signals,1
6/1/2015,B DIVISION,E,1,Track,1
6/1/2015,B DIVISION,F,1,Stations and Structure,1
6/1/2015,B DIVISION,JZ,1,Other,1
6/1/2015,B DIVISION,JZ,1,Signals,1
6/1/2015,B DIVISION,L,1,Persons on Trackbed/Police/Medical,1
6/1/2015,B DIVISION,M,1,Persons on Trackbed/Police/Medical,3
6/1/2015,B DIVISION,M,1,Stations and Structure,1
6/1/2015,B DIVISION,M,1,Track,1
6/1/2015,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
6/1/2015,B DIVISION,N,1,Signals,2
6/1/2015,B DIVISION,N,1,Track,1
6/1/2015,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
6/1/2015,B DIVISION,Q,1,Signals,1
6/1/2015,B DIVISION,R,1,Signals,3
6/1/2015,B DIVISION,R,1,Stations and Structure,1
6/1/2015,B DIVISION,R,1,Track,1
6/1/2015,Systemwide,Systemwide,1,Other,2
6/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,24
6/1/2015,Systemwide,Systemwide,1,Signals,16
6/1/2015,Systemwide,Systemwide,1,Stations and Structure,4
6/1/2015,Systemwide,Systemwide,1,Subway Car,1
6/1/2015,Systemwide,Systemwide,1,Track,15
6/1/2015,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
7/1/2015,A DIVISION,1,1,Other,1
7/1/2015,A DIVISION,1,1,Persons on Trackbed/Police/Medical,3
7/1/2015,A DIVISION,1,1,Signals,1
7/1/2015,A DIVISION,1,1,Track,2
7/1/2015,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
7/1/2015,A DIVISION,2,1,Signals,2
7/1/2015,A DIVISION,2,1,Track,2
7/1/2015,A DIVISION,2,2,Track,1
7/1/2015,A DIVISION,3,1,Signals,1
7/1/2015,A DIVISION,3,1,Track,3
7/1/2015,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
7/1/2015,A DIVISION,4,1,Other,1
7/1/2015,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
7/1/2015,A DIVISION,4,1,Signals,1
7/1/2015,A DIVISION,4,1,Track,1
7/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
7/1/2015,A DIVISION,5,1,Signals,2
7/1/2015,A DIVISION,5,1,Track,1
7/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,4
7/1/2015,A DIVISION,6,1,Signals,4
7/1/2015,A DIVISION,6,1,Subway Car,3
7/1/2015,A DIVISION,7,1,Signals,1
7/1/2015,A DIVISION,7,1,Subway Car,1
7/1/2015,A DIVISION,7,2,Persons on Trackbed/Police/Medical,1
7/1/2015,B DIVISION,A,1,Other,2
7/1/2015,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
7/1/2015,B DIVISION,A,1,Signals,1
7/1/2015,B DIVISION,A,1,Track,3
7/1/2015,B DIVISION,C,1,Signals,1
7/1/2015,B DIVISION,C,1,Stations and Structure,1
7/1/2015,B DIVISION,C,2,Signals,1
7/1/2015,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
7/1/2015,B DIVISION,D,1,Track,1
7/1/2015,B DIVISION,E,1,Persons on Trackbed/Police/Medical,3
7/1/2015,B DIVISION,E,1,Track,3
7/1/2015,B DIVISION,F,1,Other,2
7/1/2015,B DIVISION,F,1,Signals,4
7/1/2015,B DIVISION,F,1,Subway Car,1
7/1/2015,B DIVISION,F,1,Track,2
7/1/2015,B DIVISION,JZ,1,Persons on Trackbed/Police/Medical,1
7/1/2015,B DIVISION,L,1,Signals,2
7/1/2015,B DIVISION,L,1,Track,1
7/1/2015,B DIVISION,L,2,Signals,1
7/1/2015,B DIVISION,M,1,Signals,1
7/1/2015,B DIVISION,M,1,Track,1
7/1/2015,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
7/1/2015,B DIVISION,N,1,Signals,3
7/1/2015,B DIVISION,N,1,Track,1
7/1/2015,B DIVISION,N,2,Signals,1
7/1/2015,B DIVISION,N,2,Track,1
7/1/2015,B DIVISION,Q,1,Signals,2
7/1/2015,B DIVISION,Q,1,Track,2
7/1/2015,B DIVISION,R,1,Track,1
7/1/2015,Systemwide,Systemwide,1,Other,6
7/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,19
7/1/2015,Systemwide,Systemwide,1,Signals,26
7/1/2015,Systemwide,Systemwide,1,Stations and Structure,1
7/1/2015,Systemwide,Systemwide,1,Subway Car,5
7/1/2015,Systemwide,Systemwide,1,Track,24
7/1/2015,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
7/1/2015,Systemwide,Systemwide,2,Signals,3
7/1/2015,Systemwide,Systemwide,2,Track,2
8/1/2015,A DIVISION,1,1,Signals,1
8/1/2015,A DIVISION,1,1,Stations and Structure,2
8/1/2015,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
8/1/2015,A DIVISION,2,1,Signals,2
8/1/2015,A DIVISION,2,1,Track,2
8/1/2015,A DIVISION,2,2,Signals,1
8/1/2015,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
8/1/2015,A DIVISION,3,1,Track,1
8/1/2015,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
8/1/2015,A DIVISION,4,1,Signals,2
8/1/2015,A DIVISION,4,1,Subway Car,1
8/1/2015,A DIVISION,5,1,Other,1
8/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
8/1/2015,A DIVISION,5,1,Track,1
8/1/2015,A DIVISION,6,1,Other,1
8/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,3
8/1/2015,A DIVISION,6,1,Signals,1
8/1/2015,A DIVISION,6,1,Subway Car,1
8/1/2015,A DIVISION,6,2,Signals,1
8/1/2015,B DIVISION,A,1,Track,1
8/1/2015,B DIVISION,B,1,Signals,1
8/1/2015,B DIVISION,C,1,Signals,1
8/1/2015,B DIVISION,C,2,Persons on Trackbed/Police/Medical,1
8/1/2015,B DIVISION,D,1,Signals,2
8/1/2015,B DIVISION,D,1,Track,1
8/1/2015,B DIVISION,D,2,Persons on Trackbed/Police/Medical,1
8/1/2015,B DIVISION,E,1,Signals,1
8/1/2015,B DIVISION,E,1,Subway Car,1
8/1/2015,B DIVISION,E,2,Signals,1
8/1/2015,B DIVISION,F,1,Other,1
8/1/2015,B DIVISION,F,1,Signals,4
8/1/2015,B DIVISION,F,1,Stations and Structure,1
8/1/2015,B DIVISION,F,1,Track,2
8/1/2015,B DIVISION,G,1,Persons on Trackbed/Police/Medical,2
8/1/2015,B DIVISION,JZ,1,Signals,1
8/1/2015,B DIVISION,L,1,Signals,1
8/1/2015,B DIVISION,L,2,Stations and Structure,1
8/1/2015,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
8/1/2015,B DIVISION,M,1,Signals,3
8/1/2015,B DIVISION,M,1,Track,3
8/1/2015,B DIVISION,N,1,Other,1
8/1/2015,B DIVISION,N,1,Signals,1
8/1/2015,B DIVISION,N,1,Stations and Structure,1
8/1/2015,B DIVISION,N,1,Track,1
8/1/2015,B DIVISION,Q,1,Signals,1
8/1/2015,B DIVISION,R,1,Other,1
8/1/2015,B DIVISION,R,1,Signals,2
8/1/2015,B DIVISION,R,1,Subway Car,1
8/1/2015,B DIVISION,R,2,Signals,1
8/1/2015,B DIVISION,S Rock,2,Other,1
8/1/2015,Systemwide,Systemwide,1,Other,5
8/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,11
8/1/2015,Systemwide,Systemwide,1,Signals,24
8/1/2015,Systemwide,Systemwide,1,Stations and Structure,4
8/1/2015,Systemwide,Systemwide,1,Subway Car,4
8/1/2015,Systemwide,Systemwide,1,Track,12
8/1/2015,Systemwide,Systemwide,2,Other,1
8/1/2015,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
8/1/2015,Systemwide,Systemwide,2,Signals,4
8/1/2015,Systemwide,Systemwide,2,Stations and Structure,1
9/1/2015,A DIVISION,1,1,Stations and Structure,1
9/1/2015,A DIVISION,2,1,Signals,2
9/1/2015,A DIVISION,2,1,Subway Car,1
9/1/2015,A DIVISION,2,1,Track,2
9/1/2015,A DIVISION,2,2,Signals,1
9/1/2015,A DIVISION,3,1,Track,1
9/1/2015,A DIVISION,3,2,Other,1
9/1/2015,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
9/1/2015,A DIVISION,4,1,Signals,1
9/1/2015,A DIVISION,4,1,Subway Car,2
9/1/2015,A DIVISION,4,1,Track,1
9/1/2015,A DIVISION,4,2,Other,1
9/1/2015,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
9/1/2015,A DIVISION,5,1,Signals,3
9/1/2015,A DIVISION,5,1,Track,3
9/1/2015,A DIVISION,6,1,Signals,2
9/1/2015,A DIVISION,6,2,Signals,1
9/1/2015,A DIVISION,7,1,Subway Car,1
9/1/2015,A DIVISION,7,1,Track,2
9/1/2015,B DIVISION,A,1,Other,1
9/1/2015,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
9/1/2015,B DIVISION,A,1,Track,3
9/1/2015,B DIVISION,A,2,Signals,1
9/1/2015,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
9/1/2015,B DIVISION,B,1,Signals,1
9/1/2015,B DIVISION,B,1,Track,1
9/1/2015,B DIVISION,C,1,Signals,1
9/1/2015,B DIVISION,C,1,Track,1
9/1/2015,B DIVISION,D,1,Signals,1
9/1/2015,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
9/1/2015,B DIVISION,E,1,Signals,4
9/1/2015,B DIVISION,E,1,Track,3
9/1/2015,B DIVISION,E,2,Track,1
9/1/2015,B DIVISION,F,1,Signals,6
9/1/2015,B DIVISION,G,1,Other,1
9/1/2015,B DIVISION,L,2,Stations and Structure,1
9/1/2015,B DIVISION,L,2,Track,1
9/1/2015,B DIVISION,M,1,Other,1
9/1/2015,B DIVISION,M,1,Signals,1
9/1/2015,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
9/1/2015,B DIVISION,N,1,Subway Car,1
9/1/2015,B DIVISION,Q,1,Signals,2
9/1/2015,B DIVISION,R,1,Persons on Trackbed/Police/Medical,2
9/1/2015,B DIVISION,R,1,Subway Car,1
9/1/2015,Systemwide,Systemwide,1,Other,3
9/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,8
9/1/2015,Systemwide,Systemwide,1,Signals,24
9/1/2015,Systemwide,Systemwide,1,Stations and Structure,1
